83,1,4,3.5,5,4,3,3
83,2,3,3,3,3.5,3.5,4
83,4,5,3,3,3.5,4,3
83,6,3,3.5,2.5,2.5,4,2
83,9,4,2.5,3,4,3.5,4
83,12,3,4.5,4.5,4,4.5,5
83,15,3,2,3,4.5,3.5,4
83,16,2,3,5,3,3,4
83,21,4,3.52,3.41,3.63,3.41,4
83,22,5,5,5,4,2,4
83,23,4,1,3,5,5,4
83,24,4,3,2,3,2,4
83,25,5,4,2,5,4,2
83,28,5,4.33,3.33,4.33,2.33,4
83,29,4,4,4,4,5,4
83,31,4,3.67,4.67,3.67,3.33,4
83,35,5,5,3,3,5,2
83,36,4,2,3,3.5,3,3
83,37,4.57,2.86,4.14,2.43,4.29,2
83,38,5,3.5,4,4.25,3.25,5
83,40,2.33,3.67,4.33,4,3.67,4
83,41,4,3.33,3.33,3,4,3
83,43,3,3,1,4,1,4
83,45,2,4,3,3,2.33,4
83,47,5,2.5,2.5,2.5,2,3
83,48,4,5,5,4,1,2
83,50,4,2.5,4.5,2,4,3
83,56,5,1,3,1,3,1
83,60,5,4,4.5,3.5,3,4
83,61,2.61,3.3,3.65,3.7,3.48,2
83,62,5,2.5,5,4.5,4,4
83,63,5,2.67,3.33,2.67,2.33,4
83,64,4,2.5,3,1.5,4,5
83,66,3,4,2,3,2,2
83,69,5,3,4,3,4,4
83,70,3,5,4,3,4,4
83,71,3.33,3.33,2.67,2.67,4.33,3
83,73,5,1.5,5,2.5,4.5,3
83,74,1,5,3,5,1,4
83,77,4,2,3.5,4,4,4
83,78,3,5,4,3,3.5,3
83,79,3.17,3.63,3.7,3.37,3.46,5
83,82,2.85,3.54,3.31,3.38,3.77,5
83,85,1,3.25,4,3.75,3,4
83,86,4,3.33,4,3.33,4,3
83,87,5,3,3,4,2.67,3
83,88,3,3.5,3.5,4.5,2,5
83,89,3.5,4,3,3.38,4,2
83,91,3,3.5,3.5,3,3,2
83,94,4,1,3,3,5,4
83,95,5,3.5,5,4.5,4,4
83,97,1,3,5,4,4,4
83,103,4,4,3.5,4.5,3.5,4
83,105,4,1,5,2,3,3
83,106,5,2.33,4.67,3,3.67,4
83,107,5,4,4,1,2,3
83,110,5,3.5,4,3.5,2,4
83,111,4,3.71,4.57,3.14,4,2
83,112,5,2.33,2.33,5,3,2
83,117,5,4.5,3.5,3.5,4.5,4
83,118,4,4,5,3,5,3
83,121,4,4,1,3,3,4
83,122,5,4,4.5,5,4,1
83,125,3,3,5,2,5,4
83,127,4,5,4,3.5,4,4
83,132,3.5,3.33,3.83,2.67,4.17,4
83,133,4,3.5,5,3.5,1.5,2
83,134,5,5,4,4,4,2
83,138,3,3,5,4,4,2
83,139,1,4,4,3,5,3
83,140,5,3.14,3.14,4.14,2.71,5
83,151,2,3,5,4,3,3
83,152,3,3.33,4.67,4.67,4.33,5
83,153,4,4,4,2,2,2
83,154,3.5,3.5,4,3.25,3.25,2
83,156,5,4.5,4,4.5,4.5,4
83,157,5,3.5,4.5,3.5,1.5,5
83,158,2,2,3,3,3,2
83,159,5,5,3,5,5,1
83,160,5,5,1,1,4,1
83,161,3,4,3.33,4.67,4,4
83,170,4,4.33,4.33,4,3.67,4
83,173,3,4,3,2.67,3.33,4
83,174,3,4.33,3.33,3.33,4,5
83,178,5,4,4,4,3,4
83,179,5,2.5,4.5,4.5,4,4
83,181,4,3,4.5,3.5,2.5,4
83,185,5,4,4,5,5,3
83,186,5,4,4,2,4.5,4
83,191,5,4,2,3.5,3,4
83,196,1,2,4,1,3,5
83,198,4,3,2,3,4.5,3
83,199,5,4.33,3.67,2,2.33,3
83,204,1,5,4,2.5,5,5
83,210,2,3.83,3.17,3.67,4,5
83,211,4,3.5,4,3,4,4
83,212,3,5,5,3,1,4
83,214,5,3.33,4,2.67,3.33,4
83,215,4.67,4.56,3.33,3.11,3.11,4
83,216,5,2,5,5,2.5,4
83,218,4,4,5,4,1,3
83,222,3,3,5,4,4,4
83,223,4,2,4,3.5,3,3
83,224,4,3.5,3,4.5,3,2
83,225,4.43,4.29,3.71,3.29,3.43,3
83,226,4.07,3.7,3.64,3.45,3.42,4
83,233,4,4,4,5,1,4
83,234,4,1,3,4,2,3
83,235,5,3,2,3.5,2.5,1
83,240,5,2.67,4.67,3,4,1
83,242,5,2.33,4.67,3.33,2.67,2
83,243,5,2,2.5,3,2,3
83,245,5,2,4,3,4,2
83,248,4.14,3.86,2.71,3.57,3.43,3
83,249,5,3,3,2.67,4.33,4
83,250,5,5,3,2,4,4
83,252,5,3.25,3.5,2.75,3.75,4
