Company,Title,Location,Rating
Follett Corporation,Team Lead Store Operations,Fall River,4
Follett Corporation,Course Materials Manager,Knoxville,3
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Manufactured Parts Planner,Easton,3
Follett Corporation,Cashier/sales associated / Costumer service,Queens,5
Follett Corporation,Hayward - General Merchandise Associate,Hayward,5
Follett Corporation,Associate,Elizabeth City,3
Follett Corporation,Computer Department Supervisor,University of Cincinnati,4
Follett Corporation,Cashier,Hurst,3
Follett Corporation,Sales Associate Temp. II,Glen Ellyn,5
Follett Corporation,Sales Associate,Westchester,4
Follett Corporation,Team Lead General Merchandise,Norfolk,4
Follett Corporation,Customer Service/Inventory,West Windsor,4
Follett Corporation,Cashier/ stocker,Middletown,5
Follett Corporation,Cashier Associate,Hayward,5
Follett Corporation,Director,Westchester,4
Follett Corporation,Sr. Java/ J2EE Developer,Chicago,4
Follett Corporation,Customer Service Rep.,Nashville,4
Follett Corporation,Assistant Manager College Bookstore,Enid,5
Follett Corporation,Director -- Home Office,Westchester,3
Follett Corporation,sales associate,Fort Wayne,5
Follett Corporation,Team Lead Store Operations,Fall River,4
Follett Corporation,Course Materials Manager,Knoxville,3
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Customer Service Associate,Goodman,4
Follett Corporation,Programmer Analyst,Westmont,2
Follett Corporation,Sales Associate,Riverside,5
Follett Corporation,Computer Department Supervisor,University of Cincinnati,4
Follett Corporation,Sales Associate,Westchester,4
Follett Corporation,Sales Associate,Goffstown,4
Follett Corporation,Sales Associate,Dobbs Ferry,3
Follett Corporation,Cashier/ stocker,Middletown,5
Follett Corporation,Sales Associate,San Marcos,5
Follett Corporation,Director -- Home Office,Westchester,3
Follett Corporation,Temp Sales Associate,Lafayette,4
Follett Corporation,Sr. Java/ J2EE Developer,Chicago,4
Follett Corporation,Assistant Manager College Bookstore,Enid,5
Follett Corporation,Textbook Manager,Norwich,4
Follett Corporation,sales associate,Fort Wayne,5
Follett Corporation,Cashier Associate,Hayward,5
Follett Corporation,Customer Service Rep.,Nashville,4
Follett Corporation,Team Lead Sales Associate,Opa-locka,5
Follett Corporation,Cashier,Detroit,3
Follett Corporation,Associate,Elizabeth City,3
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Retail Sales Associate,Huntington,4
Follett Corporation,Sales Associate,Belle Glade,5
Follett Corporation,Sales Associate (Temp),Pensacola,5
Follett Corporation,Sr. Sales Support Specialist,Woodridge,4
Follett Corporation,Customer Service Representative,River Grove,4
Follett Corporation,Sales Associate,Westchester,4
Follett Corporation,store manger 1,Loch Sheldrake,3
Follett Corporation,Team Lead Tech Services,Kalamazoo,3
Follett Corporation,Sales Associate/Customer Service,Corinth,5
Follett Corporation,Cashier/ stocker,Middletown,5
Follett Corporation,Fairfield University Sales Representative,Fairfield,1
Follett Corporation,Retail Sales Associate,Hamden,4
Follett Corporation,Campus bookstore Sale Associate,Springfield,5
Follett Corporation,Course Materials Manager,Hamden,4
Follett Corporation,Bookstore assistant,River Grove,2
Follett Corporation,Sales Associate,Avon Park,4
Follett Corporation,Equipment Operator,Woodridge,4
Follett Corporation,Sales Representative,San Marcos,5
Follett Corporation,Temporary Sales Associate,Dobbs Ferry,5
Follett Corporation,SmashBurger Waitress/Casher,Berkeley,4
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Temp Sales Associate,Lafayette,4
Follett Corporation,Customer Service Associate,McHenry,2
Follett Corporation,Sales Associate,Belle Glade,5
Follett Corporation,Sales Associate,Avon Park,4
Follett Corporation,Store Manager,Chillicothe,4
Follett Corporation,Customer Service Representative,Aurora,5
Follett Corporation,Customer Service,Miami,4
Follett Corporation,Assistant Manager,Danville,3
Follett Corporation,Bookstore assistant,River Grove,2
Follett Corporation,Course Materials Manager,Hamden,4
Follett Corporation,senior software engineer,Westchester,5
Follett Corporation,Associate Product Support Specialist,Westchester,5
Follett Corporation,Cashier/Sales Floor Associate,Huntsville,5
Follett Corporation,cashier,Grand Rapids,4
Follett Corporation,sale associate,Jackson,5
Follett Corporation,Customer Service Representative,Fort Wayne,3
Follett Corporation,Sales Associate,San Marcos,5
Follett Corporation,Textbook Manager,Norwich,4
Follett Corporation,Sales Associate,Northridge,3
Follett Corporation,Team Lead Course Materials,Lake Worth,4
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,"Inventory,cataloging,and shipping",River Grove,4
Follett Corporation,Sales Associate,Phoenix,1
Follett Corporation,Sales Associate I,Amherst,3
Follett Corporation,Director,Westchester,4
Follett Corporation,Sales Associate/Cashier,Albany,5
Follett Corporation,Sales Associate,Martinsville,5
Follett Corporation,Assistant Manager,Danville,3
Follett Corporation,Online Coordinator,Orangeburg,5
Follett Corporation,Customer service representative,Wayne,3
Follett Corporation,senior software engineer,Westchester,5
Follett Corporation,Sales Associate,Northridge,3
Follett Corporation,Cashier,Oviedo,4
Follett Corporation,Store Manager,Greenfield,3
Follett Corporation,cashier,Grand Rapids,4
Follett Corporation,Customer Service Representative,Aurora,5
Follett Corporation,Course Materials Team Lead,Janesville,5
Follett Corporation,Team Lead,South,4
Follett Corporation,Associate Product Support Specialist,Westchester,5
Follett Corporation,Processor,Terre Haute,4
Follett Corporation,Sales Associate,Rhode Island,5
Follett Corporation,General Manager of three separate stores,UMass Boston and Massasoit Community College,4
Follett Corporation,Course Materials Manager,Brooklyn,5
Follett Corporation,Shipping/Receiving Supervisor,Denver,3
